Nominal Size,Nominal Size (DN),"Outside Diameter, inches",Identification,Pipe Schedule,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
12,300,12.75,STD,,0.375,12,1,0.7854,0.00015,0.00015
12,300,12.75,,40,0.406,11.938,0.9948,0.7773,0.000151,0.00015
12,300,12.75,,,0.438,11.874,0.9895,0.76899,0.000152,0.00015
12,300,12.75,XS,,0.5,11.75,0.9792,0.75301,0.000153,0.00015
12,300,12.75,,60,0.562,11.626,0.9688,0.7372,0.000155,0.00015
12,300,12.75,,,0.625,11.5,0.9583,0.72131,0.000157,0.00015
12,300,12.75,,80,0.688,11.374,0.9478,0.70559,0.000158,0.00015
12,300,12.75,,,0.75,11.25,0.9375,0.69029,0.00016,0.00015
12,300,12.75,,,0.812,11.126,0.9272,0.67516,0.000162,0.00015
12,300,12.75,,100,0.844,11.062,0.9218,0.66741,0.000163,0.00015
12,300,12.75,,,0.875,11,0.9167,0.65995,0.000164,0.00015
12,300,12.75,,,0.938,10.874,0.9062,0.64492,0.000166,0.00015
12,300,12.75,XXS,120,1,10.75,0.8958,0.6303,0.000167,0.00015
12,300,12.75,,,1.062,10.626,0.8855,0.61584,0.000169,0.00015
12,300,12.75,,140,1.125,10.5,0.875,0.60132,0.000171,0.00015
12,300,12.75,,,1.25,10.25,0.8542,0.57303,0.000176,0.00015
12,300,12.75,,160,1.312,10.126,0.8438,0.55925,0.000178,0.00015
14,350,14,,5,0.156,13.688,1.1407,1.0219,0.000132,0.00015
14,350,14,,,0.188,13.624,1.1353,1.01236,0.000132,0.00015
14,350,14,,,0.203,13.594,1.1328,1.00791,0.000132,0.00015
14,350,14,,,0.21,13.58,1.1317,1.00584,0.000133,0.00015
14,350,14,,,0.219,13.562,1.1302,1.00317,0.000133,0.00015
14,350,14,,10,0.25,13.5,1.125,0.99402,0.000133,0.00015
14,350,14,,,0.281,13.438,1.1198,0.98491,0.000134,0.00015
14,350,14,,20,0.312,13.376,1.1147,0.97584,0.000135,0.00015
14,350,14,,,0.344,13.312,1.1093,0.96653,0.000135,0.00015
14,350,14,STD,30,0.375,13.25,1.1042,0.95754,0.000136,0.00015
14,350,14,,,0.406,13.188,1.099,0.9486,0.000136,0.00015
14,350,14,,40,0.438,13.124,1.0937,0.93942,0.000137,0.00015
14,350,14,,,0.469,13.062,1.0885,0.93057,0.000138,0.00015
14,350,14,XS,,0.5,13,1.0833,0.92175,0.000138,0.00015
14,350,14,,,0.562,12.876,1.073,0.90425,0.00014,0.00015
14,350,14,,60,0.594,12.812,1.0677,0.89528,0.00014,0.00015
14,350,14,,,0.625,12.75,1.0625,0.88664,0.000141,0.00015
14,350,14,,,0.688,12.624,1.052,0.8692,0.000143,0.00015
14,350,14,,80,0.75,12.5,1.0417,0.85221,0.000144,0.00015
14,350,14,,,0.812,12.376,1.0313,0.83539,0.000145,0.00015
14,350,14,,,0.875,12.25,1.0208,0.81846,0.000147,0.00015
14,350,14,,100,0.938,12.124,1.0103,0.80171,0.000148,0.00015
14,350,14,,,1,12,1,0.7854,0.00015,0.00015
14,350,14,,,1.062,11.876,0.9897,0.76925,0.000152,0.00015
14,350,14,,120,1.094,11.812,0.9843,0.76098,0.000152,0.00015
14,350,14,,,1.125,11.75,0.9792,0.75301,0.000153,0.00015
14,350,14,,140,1.25,11.5,0.9583,0.72131,0.000157,0.00015
14,350,14,,160,1.406,11.188,0.9323,0.6827,0.000161,0.00015
14,350,14,,,2,10,0.8333,0.54542,0.00018,0.00015
14,350,14,,,2.125,9.75,0.8125,0.51849,0.000185,0.00015
14,350,14,,,2.2,9.6,0.8,0.50265,0.000188,0.00015
14,350,14,,,2.5,9,0.75,0.44179,0.0002,0.00015
16,400,16,,5,0.165,15.67,1.3058,1.33926,0.000115,0.00015
16,400,16,,,0.188,15.624,1.302,1.33141,0.000115,0.00015
16,400,16,,,0.203,15.594,1.2995,1.3263,0.000115,0.00015
16,400,16,,,0.219,15.562,1.2968,1.32086,0.000116,0.00015
16,400,16,,10,0.25,15.5,1.2917,1.31036,0.000116,0.00015
16,400,16,,,0.281,15.438,1.2865,1.2999,0.000117,0.00015
16,400,16,,20,0.312,15.376,1.2813,1.28948,0.000117,0.00015
16,400,16,,,0.344,15.312,1.276,1.27877,0.000118,0.00015
16,400,16,,30,0.375,15.25,1.2708,1.26843,0.000118,0.00015
16,400,16,,,0.406,15.188,1.2657,1.25814,0.000119,0.00015
16,400,16,,,0.438,15.124,1.2603,1.24756,0.000119,0.00015
16,400,16,,,0.469,15.062,1.2552,1.23735,0.00012,0.00015
16,400,16,,40,0.5,15,1.25,1.22718,0.00012,0.00015
16,400,16,,,0.562,14.876,1.2397,1.20698,0.000121,0.00015
16,400,16,,,0.625,14.75,1.2292,1.18662,0.000122,0.00015
16,400,16,,60,0.656,14.688,1.224,1.17666,0.000123,0.00015
16,400,16,,,0.688,14.624,1.2187,1.16643,0.000123,0.00015
16,400,16,,,0.75,14.5,1.2083,1.14674,0.000124,0.00015
16,400,16,,,0.812,14.376,1.198,1.12721,0.000125,0.00015
16,400,16,,80,0.844,14.312,1.1927,1.11719,0.000126,0.00015
16,400,16,,,0.875,14.25,1.1875,1.10753,0.000126,0.00015
16,400,16,,,0.938,14.124,1.177,1.08803,0.000127,0.00015
16,400,16,,,1,14,1.1667,1.06901,0.000129,0.00015
16,400,16,,100,1.031,13.938,1.1615,1.05957,0.000129,0.00015
16,400,16,,,1.062,13.876,1.1563,1.05016,0.00013,0.00015
16,400,16,,,1.125,13.75,1.1458,1.03118,0.000131,0.00015
16,400,16,,,1.188,13.624,1.1353,1.01236,0.000132,0.00015
16,400,16,,120,1.219,13.562,1.1302,1.00317,0.000133,0.00015
16,400,16,,,1.25,13.5,1.125,0.99402,0.000133,0.00015
16,400,16,,140,1.438,13.124,1.0937,0.93942,0.000137,0.00015
16,400,16,,160,1.594,12.812,1.0677,0.89528,0.00014,0.00015
18,450,18,,5,0.165,17.67,1.4725,1.70294,0.000102,0.00015
18,450,18,,,0.188,17.624,1.4687,1.69409,0.000102,0.00015
18,450,18,,,0.219,17.562,1.4635,1.68219,0.000102,0.00015
18,450,18,,10,0.25,17.5,1.4583,1.67033,0.000103,0.00015
18,450,18,,,0.281,17.438,1.4532,1.65852,0.000103,0.00015
18,450,18,,20,0.312,17.376,1.448,1.64675,0.000104,0.00015
18,450,18,,,0.344,17.312,1.4427,1.63464,0.000104,0.00015
18,450,18,STD,,0.375,17.25,1.4375,1.62295,0.000104,0.00015
18,450,18,,,0.406,17.188,1.4323,1.61131,0.000105,0.00015
18,450,18,,30,0.438,17.124,1.427,1.59933,0.000105,0.00015
18,450,18,,,0.469,17.062,1.4218,1.58777,0.000105,0.00015
