,numeric,numeric,string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,,
heading,Nominal Size,Nominal Outside Dia. (in),API Std.,"Standard
X-Strong
XXS",Pipe Schedule,"Nom. Wall Thickness
(in)",Nom. Internal Diameter (in),Internal Area (in²),Internal Diameter (ft),Internal Area (ft²),e (ft) (Roughness),"e/D
",,
data,14.000,14.000,5L,,100,0.938,12.1240,115.44700,1.01000,0.80200,0.000150,0.000148,,
data,14.000,14.000,5L,,120,1.094,11.8120,109.58100,0.98400,0.76100,0.000150,0.000152,,
data,14.000,14.000,5L,,140,1.25,11.5000,103.86900,0.95800,0.72100,0.000150,0.000157,,
data,14.000,14.000,,,160,1.406,11.1880,98.30900,0.93200,0.68300,0.000150,0.000161,,
data,14.000,14.000,,,,2,10.0000,78.54000,0.83300,0.54500,0.000150,0.000180,,
data,14.000,14.000,,,,2.125,9.7500,74.66200,0.81300,0.51800,0.000150,0.000185,,
data,14.000,14.000,,,,2.2,9.6000,72.38200,0.80000,0.50300,0.000150,0.000188,,
data,14.000,14.000,,,,2.5,9.0000,63.61700,0.75000,0.44200,0.000150,0.000200,,
data,16.000,16.000,,,5S,0.165,15.6700,192.85400,1.30600,1.33900,0.000150,0.000115,,
data,16.000,16.000,5L,,10S*,0.188,15.6240,191.72300,1.30200,1.33100,0.000150,0.000115,,
data,16.000,16.000,5L,,,0.219,15.5620,190.20400,1.29700,1.32100,0.000150,0.000116,,
data,16.000,16.000,5L,,10,0.25,15.5000,188.69200,1.29200,1.31000,0.000150,0.000116,,
data,16.000,16.000,5L,,,0.281,15.4380,187.18500,1.28700,1.30000,0.000150,0.000117,,
data,16.000,16.000,5L,,20,0.312,15.3760,185.68500,1.28100,1.28900,0.000150,0.000117,,
data,16.000,16.000,5L,,,0.344,15.3120,184.14200,1.27600,1.27900,0.000150,0.000118,,
data,16.000,16.000,5L,,30,0.375,15.2500,182.65400,1.27100,1.26800,0.000150,0.000118,,
data,16.000,16.000,5L,,,0.438,15.1240,179.64800,1.26000,1.24800,0.000150,0.000119,,
data,16.000,16.000,5L,,,0.469,15.0620,178.17800,1.25500,1.23700,0.000150,0.000120,,
data,16.000,16.000,5L,,40,0.5,15.0000,176.71500,1.25000,1.22700,0.000150,0.000120,,
data,16.000,16.000,,,60,0.656,14.6880,169.44000,1.22400,1.17700,0.000150,0.000123,,
data,16.000,16.000,,,80,0.844,14.3120,160.87600,1.19300,1.11700,0.000150,0.000126,,
data,16.000,16.000,,,100,1.031,13.9380,152.57800,1.16200,1.06000,0.000150,0.000129,,
data,16.000,16.000,,,120,1.219,13.5620,144.45700,1.13000,1.00300,0.000150,0.000133,,
