,numeric,numeric,numeric,string,numeric,numeric
heading,Nominal Size,Nominal Outside Dia. (in),"Nominal Wall Thickness
(in)",Preferred Size,Nominal Internal Diameter (in),e (ft)
data,4.5,4.5,0.3125,X,3.875,0.002
data,4.5,4.5,0.375,X,3.75,0.002
data,4.5,4.5,0.5,X,3.5,0.002
data,4.5,4.5,0.625,X,3.25,0.002
data,5,5,0.049,X,4.902,0.002
data,5,5,0.065,X,4.87,0.002
data,5,5,0.083,X,4.834,0.002
data,5,5,0.1,X,4.8,0.002
data,5,5,0.125,X,4.75,0.002
data,5,5,0.15625,X,4.6875,0.002
data,5,5,0.1875,X,4.625,0.002
data,5,5,0.25,X,4.5,0.002
data,5,5,0.3125,X,4.375,0.002
data,5,5,0.375,X,4.25,0.002
data,5,5,0.5,X,4,0.002
data,5,5,0.625,X,3.75,0.002
data,5.5,5.5,0.049,X,5.402,0.002
data,5.5,5.5,0.065,X,5.37,0.002
data,5.5,5.5,0.083,X,5.334,0.002
data,5.5,5.5,0.1,X,5.3,0.002
data,5.5,5.5,0.125,X,5.25,0.002
data,5.5,5.5,0.15625,X,5.1875,0.002
data,5.5,5.5,0.1875,X,5.125,0.002
data,5.5,5.5,0.25,X,5,0.002
data,5.5,5.5,0.3125,X,4.875,0.002
data,5.5,5.5,0.375,X,4.75,0.002
data,5.5,5.5,0.5,X,4.5,0.002
data,5.5,5.5,0.625,X,4.25,0.002
data,6,6,0.065,X,5.87,0.002
data,6,6,0.083,X,5.834,0.002
data,6,6,0.1,X,5.8,0.002
data,6,6,0.125,X,5.75,0.002
data,6,6,0.15625,X,5.6875,0.002
data,6,6,0.1875,X,5.625,0.002
data,6,6,0.25,X,5.5,0.002
data,6,6,0.3125,X,5.375,0.002
data,6,6,0.375,X,5.25,0.002
data,6,6,0.5,X,5,0.002
data,6,6,0.625,X,4.75,0.002
data,7,7,0.065,X,6.87,0.002
data,7,7,0.083,X,6.834,0.002
data,7,7,0.1,X,6.8,0.002
data,7,7,0.125,X,6.75,0.002
data,7,7,0.15625,X,6.6875,0.002
data,7,7,0.1875,X,6.625,0.002
data,7,7,0.25,X,6.5,0.002
data,7,7,0.3125,X,6.375,0.002
data,7,7,0.375,X,6.25,0.002
data,7,7,0.5,X,6,0.002
data,7,7,0.625,X,5.75,0.002
data,8,8,0.083,X,7.834,0.002
data,8,8,0.1,X,7.8,0.002
data,8,8,0.125,X,7.75,0.002
data,8,8,0.15625,X,7.6875,0.002
data,8,8,0.1875,X,7.625,0.002
data,8,8,0.25,X,7.5,0.002
data,8,8,0.3125,X,7.375,0.002
data,8,8,0.375,X,7.25,0.002
data,8,8,0.5,X,7,0.002
data,8,8,0.625,X,6.75,0.002
data,9,9,0.083,X,8.834,0.002
data,9,9,0.1,X,8.8,0.002
data,9,9,0.125,X,8.75,0.002
data,9,9,0.15625,X,8.6875,0.002
data,9,9,0.1875,X,8.625,0.002
data,9,9,0.25,X,8.5,0.002
data,9,9,0.3125,X,8.375,0.002
data,9,9,0.375,X,8.25,0.002
data,9,9,0.5,X,8,0.002
data,9,9,0.625,X,7.75,0.002
data,10,10,0.1,X,9.8,0.002
data,10,10,0.125,X,9.75,0.002
data,10,10,0.15625,X,9.6875,0.002
data,10,10,0.1875,X,9.625,0.002
data,10,10,0.25,X,9.5,0.002
data,10,10,0.3125,X,9.375,0.002
data,10,10,0.375,X,9.25,0.002
data,10,10,0.5,X,9,0.002
data,10,10,0.625,X,8.75,0.002
data,11,11,0.1,X,10.8,0.002
data,11,11,0.125,X,10.75,0.002
