,numeric,numeric,numeric,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,Nominal Size (DN),"Outside Diameter, inches",Identification,Pipe Schedule,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
data,10,250,10.75,,20,0.250,10.250,0.8542,0.5730270,0.000176,0.000150
data,10,250    ,10.75,,30,0.307,10.136,0.8447,0.5603516,0.000178,0.000150
data,10    ,250    ,10.75,,80,0.594,9.562,0.7968,0.4986833,0.000188,0.000150
data,10    ,250    ,10.75,,100,0.719,9.312,0.7760,0.4729479,0.000193,0.000150
data,10    ,250    ,10.75,,120,0.844,9.062,0.7552,0.4478943,0.000199,0.000150
data,10,250,10.75,,160,1.125,8.500,0.7083,0.3940626,0.000212,0.000150
data,10,250,10.75,,160,1.250,8.250,0.6875,0.3712234,0.000218,0.000150
data,10,250,10.75,,,0.156,10.438,0.8698,0.5942401,0.000172,0.000150
data,10,250,10.75,,,0.188,10.374,0.8645,0.5869754,0.000174,0.000150
data,10,250,10.75,,,0.203,10.344,0.8620,0.5835854,0.000174,0.000150
data,10,250,10.75,,,0.219,10.312,0.8593,0.5799802,0.000175,0.000150
data,10,250,10.75,,,0.279,10.192,0.8493,0.5665604,0.000177,0.000150
data,10,250,10.75,,,0.344,10.062,0.8385,0.5521995,0.000179,0.000150
data,10    ,250    ,10.75,,,0.438,9.874,0.8228,0.5317575,0.000182,0.000150
data,10,250    ,10.75,,,0.562,9.626,0.8022,0.5053812,0.000187,0.000150
data,10,250,10.75,,,0.625,9.500,0.7917,0.4922374,0.000189,0.000150
data,10,250,10.75,,,0.812,9.126,0.7605,0.4542431,0.000197,0.000150
data,10    ,250    ,10.75,,,0.875,9.000,0.7500,0.4417865,0.000200,0.000150
data,10,250,10.75,,,0.938,8.874,0.7395,0.4295030,0.000203,0.000150
data,12,300,12.75,STD,,0.375,12.000,1.0000,0.7853982,0.000150,0.000150
data,12,300,12.75,XS,,0.500,11.750,0.9792,0.7530141,0.000153,0.000150
data,12,300,12.75,XXS,120,1.000,10.750,0.8958,0.6302957,0.000167,0.000150
data,12    ,300    ,12.75,,5,0.156,12.438,1.0365,0.8437786,0.000145,0.000150
data,12    ,300    ,12.75,,10,0.180,12.390,1.0325,0.8372786,0.000145,0.000150
data,12,300,12.75,,20,0.250,12.250,1.0208,0.8184640,0.000147,0.000150
data,12,300,12.75,,30,0.330,12.090,1.0075,0.7972233,0.000149,0.000150
data,12,300,12.75,,40,0.406,11.938,0.9948,0.7773033,0.000151,0.000150
data,12,300,12.75,,60,0.562,11.626,0.9688,0.7372046,0.000155,0.000150
data,12,300,12.75,,80,0.688,11.374,0.9478,0.7055923,0.000158,0.000150
data,12,300,12.75,,100,0.844,11.062,0.9218,0.6674131,0.000163,0.000150
data,12,300,12.75,,140,1.125,10.500,0.8750,0.6013205,0.000171,0.000150
data,12,300,12.75,,160,1.312,10.126,0.8438,0.5592464,0.000178,0.000150
data,12    ,300    ,12.75,,,0.172,12.406,1.0338,0.8394425,0.000145,0.000150
data,12    ,300    ,12.75,,,0.188,12.374,1.0312,0.8351176,0.000145,0.000150
data,12,300,12.75,,,0.203,12.344,1.0287,0.8310731,0.000146,0.000150
data,12,300,12.75,,,0.219,12.312,1.0260,0.8267698,0.000146,0.000150
data,12,300,12.75,,,0.281,12.188,1.0157,0.8102001,0.000148,0.000150
data,12,300,12.75,,,0.312,12.126,1.0105,0.8019781,0.000148,0.000150
data,12,300,12.75,,,0.344,12.062,1.0052,0.7935349,0.000149,0.000150
data,12,300,12.75,,,0.438,11.874,0.9895,0.7689914,0.000152,0.000150
data,12    ,300    ,12.75,,,0.625,11.500,0.9583,0.7213119,0.000157,0.000150
data,12    ,300    ,12.75,,,0.750,11.250,0.9375,0.6902914,0.000160,0.000150
data,12    ,300    ,12.75,,,0.812,11.126,0.9272,0.6751581,0.000162,0.000150
data,12    ,300    ,12.75,,,0.875,11.000,0.9167,0.6599526,0.000164,0.000150
data,12    ,300    ,12.75,,,0.938,10.874,0.9062,0.6449203,0.000166,0.000150
data,12    ,300    ,12.75,,,1.062,10.626,0.8855,0.6158388,0.000169,0.000150
data,12    ,300    ,12.75,,,1.250,10.250,0.8542,0.5730270,0.000176,0.000150
data,14,350,14,STD,30,0.375,13.250,1.1042,0.9575449,0.000136,0.000150
data,14,350,14,XS,,0.500,13.000,1.0833,0.9217520,0.000138,0.000150
data,14    ,350    ,14,,5,0.156,13.688,1.1407,1.0218976,0.000132,0.000150
data,14,350,14,,10,0.250,13.500,1.1250,0.9940196,0.000133,0.000150
data,14,350,14,,20,0.312,13.376,1.1147,0.9758429,0.000135,0.000150
data,14,350,14,,40,0.438,13.124,1.0937,0.9394201,0.000137,0.000150
data,14,350,14,,60,0.594,12.812,1.0677,0.8952849,0.000140,0.000150
data,14,350,14,,80,0.750,12.500,1.0417,0.8522115,0.000144,0.000150
data,14,350,14,,100,0.938,12.124,1.0103,0.8017136,0.000148,0.000150
data,14,350,14,,120,1.094,11.812,0.9843,0.7609818,0.000152,0.000150
data,14,350,14,,140,1.250,11.500,0.9583,0.7213119,0.000157,0.000150
data,14,350,14,,160,1.406,11.188,0.9323,0.6827038,0.000161,0.000150
data,14    ,350    ,14,,,0.188,13.624,1.1353,1.0123639,0.000132,0.000150
data,14    ,350    ,14,,,0.203,13.594,1.1328,1.0079104,0.000132,0.000150
data,14    ,350    ,14,,,0.210,13.580,1.1317,1.0058354,0.000133,0.000150
data,14,350,14,,,0.219,13.562,1.1302,1.0031708,0.000133,0.000150
data,14,350,14,,,0.281,13.438,1.1198,0.9849103,0.000134,0.000150
data,14,350,14,,,0.344,13.312,1.1093,0.9665270,0.000135,0.000150
data,14    ,350    ,14,,,0.406,13.188,1.0990,0.9486047,0.000136,0.000150
data,14,350,14,,,0.469,13.062,1.0885,0.9305651,0.000138,0.000150
data,14    ,350    ,14,,,0.562,12.876,1.0730,0.9042517,0.000140,0.000150
data,14    ,350    ,14,,,0.625,12.750,1.0625,0.8866409,0.000141,0.000150
data,14    ,350    ,14,,,0.688,12.624,1.0520,0.8692033,0.000143,0.000150
data,14    ,350    ,14,,,0.812,12.376,1.0313,0.8353875,0.000145,0.000150
data,14    ,350    ,14,,,0.875,12.250,1.0208,0.8184640,0.000147,0.000150
data,14    ,350    ,14,,,1.000,12.000,1.0000,0.7853982,0.000150,0.000150
data,14    ,350    ,14,,,1.062,11.876,0.9897,0.7692505,0.000152,0.000150
data,14    ,350    ,14,,,1.125,11.750,0.9792,0.7530141,0.000153,0.000150
data,14,350,14,,,2.000,10.000,0.8333,0.5454154,0.000180,0.000150
data,14,350,14,,,2.125,9.750,0.8125,0.5184855,0.000185,0.000150
data,14,350,14,,,2.200,9.600,0.8000,0.5026548,0.000188,0.000150
data,14,350,14,,,2.500,9.000,0.7500,0.4417865,0.000200,0.000150
data,16    ,400    ,16,,5.0,0.165,15.670,1.3058,1.3392615,0.000115,0.000150
data,16,400,16,,10.0,0.250,15.500,1.2917,1.3103605,0.000116,0.000150
data,16,400,16,,20.0,0.312,15.376,1.2813,1.2894786,0.000117,0.000150
data,16,400,16,,30.0,0.375,15.250,1.2708,1.2684317,0.000118,0.000150
data,16,400,16,,40.0,0.500,15.000,1.2500,1.2271846,0.000120,0.000150
data,16,400,16,,60.0,0.656,14.688,1.2240,1.1766647,0.000123,0.000150
data,16,400,16,,80.0,0.844,14.312,1.1927,1.1171926,0.000126,0.000150
data,16,400,16,,100.0,1.031,13.938,1.1615,1.0595667,0.000129,0.000150
data,16,400,16,,120.0,1.219,13.562,1.1302,1.0031708,0.000133,0.000150
data,16,400,16,,140.0,1.438,13.124,1.0937,0.9394201,0.000137,0.000150
data,16,400,16,,160.0,1.594,12.812,1.0677,0.8952849,0.000140,0.000150
data,16    ,400    ,16,,,0.188,15.624,1.3020,1.3314101,0.000115,0.000150
data,16    ,400    ,16,,,0.203,15.594,1.2995,1.3263021,0.000115,0.000150
data,16,400,16,,,0.219,15.562,1.2968,1.3208643,0.000116,0.000150
data,16,400,16,,,0.281,15.438,1.2865,1.2998986,0.000117,0.000150
data,16,400,16,,,0.344,15.312,1.2760,1.2787664,0.000118,0.000150
data,16    ,400,16,,,0.406,15.188,1.2657,1.2581388,0.000119,0.000150
data,16,400,16,,,0.438,15.124,1.2603,1.2475579,0.000119,0.000150
data,16,400,16,,,0.469,15.062,1.2552,1.2373503,0.000120,0.000150
data,16    ,400    ,16,,,0.562,14.876,1.2397,1.2069790,0.000121,0.000150
data,16    ,400    ,16,,,0.625,14.750,1.2292,1.1866194,0.000122,0.000150
data,16    ,400    ,16,,,0.688,14.624,1.2187,1.1664329,0.000123,0.000150
