,numeric,numeric,numeric,numeric,numeric,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,DN,Nominal Outside dia [in],Outside Diameter (Min),Outside Diameter (Max),"Standard
X-Strong
XX-Strong",Pipe Schedule,"Wall Thickness
in. Nom","Wall Thickness, in. Min","Wall Thickness, in. Maxc",Wall Thickness Tolerance +/-,"Wall Thickness Tolerance, Average Outside Diameter, all minus",Internal Diameter in. Nom,Internal Area Square Inches,Internal Diameter Feet,Internal Area Square Feet,"e/D
Relative Roughness","e
Absolute Roughness (ft)","t/D, Ratio of Nominal Wall Thickness to Nominal Outside Diameter","Diameter Roundness Tolerances, percent of outside diameter (Expressed to the nearest 0.001 in. Neareast 0.01 mm.","Diameter Roundness Tolerances, (Expressed to the nearest 0.001 in. Nearest 0.01 mm.)","Plain-End Weight
lb/ft Nom","Plain-End Weight
lb/ft Max"
data,5,125,5.563,,,,160,0.625,,,,,4.313,14.6100,0.3594,0.10146,0.000019,0.000007,,,,9.698000,10.470000
data,6,150,6.625,,,,5,0.109,,,,,6.407,32.2403,0.5339,0.22389,0.000013,0.000007,,,,18.930000,20.450000
data,6,150,6.625,,,,10,0.134,,,,,6.357,31.7391,0.5298,0.22041,0.000013,0.000007,,,,26.650000,28.780000
data,6,150,6.625,,,STD,40,0.280,,,0.004,,6.065,28.8903,0.5054,0.20063,0.003957,0.002000,,,,0.259000,
data,6,150,6.625,,,XS,80,0.432,,,0.006,,5.761,26.0667,0.4801,0.18102,0.004166,0.002000,,,,1.300000,
data,6,150,6.625,,,,120,0.562,,,0.008,,5.501,23.7669,0.4584,0.16505,0.004363,0.002000,,,,2.690000,
data,6,150,6.625,,,,160,0.719,,,0.009,,5.187,21.1311,0.4323,0.14674,0.004627,0.002000,,,,4.220000,
data,8,200,8.625,,,,5,0.109,,,0.014,,8.407,55.5101,0.7006,0.38549,0.002855,0.002000,,,,12.900000,
data,8,200,8.625,,,,10,0.148,,,0.014,,8.329,54.4848,0.6941,0.37837,0.002881,0.002000,,,,19.400000,
data,8,200,8.625,,,,20,0.250,,,0.007,,8.125,51.8486,0.6771,0.36006,0.002954,0.002000,,,,0.625000,
data,8,200,8.625,,,STD,40,0.322,,,0.009,,7.981,50.0270,0.6651,0.34741,0.003007,0.002000,,,,1.710000,
data,8,200,8.625,,,,60,0.406,,,0.011,,7.813,47.9430,0.6511,0.33294,0.003072,0.002000,,,,4.190000,
data,8,200,8.625,,,XS,80,0.500,,,0.015,,7.625,45.6635,0.6354,0.31711,0.003148,0.002000,,,,8.850000,
data,8,200,8.625,,,,100,0.594,,,0.017,,7.437,43.4396,0.6198,0.30166,0.003227,0.002000,,,,14.400000,
data,8,200,8.625,,,,120,0.719,,,0.019,,7.187,40.5681,0.5989,0.28172,0.003339,0.002000,,,,23.700000,
data,8,200,8.625,,,,140,0.812,,,0.035,,7.001,38.4955,0.5834,0.26733,0.003428,0.002000,,,,49.500000,
data,8,200,8.625,,,,160,0.906,,,-,,6.813,36.4558,0.5678,0.25317,0.003523,0.002000,,,,Not available in this size,
data,10,250,10.750,,,,5,0.134,,,0.005,,10.482,86.2935,0.8735,0.59926,0.002290,0.002000,,,,0.447000,
data,10,250,10.750,,,,10,0.165,,,0.006,,10.420,85.2757,0.8683,0.59219,0.002303,0.002000,,,,0.934000,
data,10,250,10.750,,,,20,0.250,,,0.008,,10.250,82.5159,0.8542,0.57303,0.002341,0.002000,,,,3.130000,
data,10,250,10.750,,,,30,0.307,,,0.010,,10.136,80.6906,0.8447,0.56035,0.002368,0.002000,,,,5.990000,
data,10,250,10.750,,,STD,40,0.365,,,0.013,,10.020,78.8543,0.8350,0.54760,0.002395,0.002000,,,,11.200000,
data,10,250,10.750,,,XS,60,0.500,,,0.014,,9.750,74.6619,0.8125,0.51849,0.002462,0.002000,,,,15.800000,
data,10,250,10.750,,,,80,0.594,,,0.022,,9.562,71.8104,0.7968,0.49868,0.002510,0.002000,,,,30.900000,
data,10,250,10.750,,,,100,0.719,,,0.030,,9.312,68.1045,0.7760,0.47295,0.002577,0.002000,,,,55.300000,
data,12,300,12.750,,,,5,0.156,,,0.011,,12.438,121.5041,1.0365,0.84378,0.001930,0.002000,,,,4.100000,
data,12,300,12.750,,,,10,0.180,,,0.015,,12.390,120.5681,1.0325,0.83728,0.001937,0.002000,,,,8.660000,
data,12,300,12.750,,,,20,0.250,,,0.019,,12.250,117.8588,1.0208,0.81846,0.001959,0.002000,,,,23.200000,
data,12,300,12.750,,,,30,0.330,,,0.04,,12.090,114.8002,1.0075,0.79722,0.001985,0.002000,,,,61.100000,
data,12,300,12.75,,,,40,0.406,,,0.004,0.004,11.938,111.9317,0.994833333,0.777303348,0.002010387,0.002000,0.031843,0.010,0.128,,0.483
data,12,300,12.75,,,,60,0.562,,,0.004,0.005,11.626,106.1575,0.968833333,0.737204583,0.002064339,0.002000,0.044078,0.010,0.128,,0.989
data,12,300,12.75,,,,80,0.688,,,0.004,0.006,11.374,101.6053,0.947833333,0.705592307,0.002110076,0.002000,0.053961,0.008,0.102,,1.45
